iter	Passed	Remaining
0	0	68
1	1	64
2	1	62
3	2	57
4	3	57
5	3	56
6	4	55
7	4	54
8	5	54
9	5	53
10	6	52
11	7	52
12	7	51
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	13	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	21	37
36	21	36
37	22	36
38	22	35
39	23	34
40	23	34
41	24	33
42	24	32
43	25	32
44	26	32
45	27	32
46	28	32
47	35	38
48	36	38
49	37	37
50	39	37
51	39	36
52	40	36
53	41	35
54	42	34
55	43	33
56	43	33
57	44	32
58	44	31
59	45	30
60	46	29
61	46	28
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	65	5
92	66	4
93	67	4
94	67	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
