iter	Passed	Remaining
0	0	543
1	2	1197
2	3	1025
3	3	870
4	3	769
5	4	708
6	4	674
7	5	644
8	5	617
9	6	596
10	6	573
11	6	553
12	8	679
13	9	658
14	9	637
15	10	620
16	10	607
17	10	595
18	11	582
19	11	572
20	12	560
21	12	552
22	12	543
23	13	535
24	13	528
25	14	528
26	14	522
27	14	515
28	15	509
29	15	504
30	15	498
31	16	493
32	16	488
33	17	484
34	17	479
35	17	475
36	18	471
37	18	466
38	18	463
39	19	459
40	19	456
41	19	455
42	20	452
43	20	449
44	21	446
45	21	443
46	21	441
47	22	438
48	22	436
49	22	433
50	23	431
51	23	429
52	23	427
53	24	424
54	24	423
55	25	421
56	25	420
57	25	420
58	26	419
59	26	417
60	27	415
61	27	414
62	27	412
63	28	411
64	28	410
65	28	409
66	29	408
67	29	406
68	30	405
69	30	402
70	30	401
71	31	400
72	31	401
73	31	400
74	32	400
75	32	399
76	33	397
77	33	397
78	33	396
79	34	395
80	34	394
81	35	393
82	35	392
83	35	391
84	36	390
85	36	389
86	37	389
87	37	390
88	37	388
89	38	387
90	38	386
91	39	385
92	39	384
93	39	383
94	40	382
95	40	381
96	40	379
97	40	377
98	41	376
99	41	375
100	42	374
101	42	373
102	42	373
103	43	373
104	43	371
105	43	370
106	44	369
107	44	368
108	45	367
109	45	366
110	45	366
111	46	365
112	46	365
113	46	364
114	47	363
115	47	362
116	47	361
117	50	379
118	51	378
119	51	377
120	51	376
121	52	376
122	52	375
123	53	374
124	53	374
125	53	373
126	54	373
127	54	372
128	55	372
129	55	371
130	55	370
131	56	369
132	56	368
133	56	367
134	57	366
135	57	366
136	57	365
137	58	364
138	58	363
139	59	363
140	59	362
141	59	362
142	60	362
143	61	363
144	61	363
145	61	361
146	62	362
147	63	362
148	63	362
149	63	361
150	64	360
151	64	360
152	64	359
153	65	358
154	65	358
155	66	357
156	66	357
157	67	361
158	68	361
159	68	361
160	69	361
161	69	361
162	70	361
163	71	362
164	71	361
165	71	360
166	72	362
167	73	365
168	74	364
169	74	364
170	74	363
171	75	363
172	75	361
173	75	360
174	76	359
175	76	360
176	77	362
177	80	372
178	81	373
179	81	373
180	82	373
181	83	374
182	83	373
183	85	378
184	85	378
185	86	377
186	87	378
187	87	379
188	88	378
189	88	378
190	89	377
191	89	376
192	89	376
193	90	375
194	91	375
195	91	374
196	91	374
197	92	373
198	92	373
199	93	372
200	93	371
201	93	371
202	94	370
203	94	369
204	95	368
205	95	368
206	95	367
207	96	368
208	97	367
209	97	367
210	98	368
211	99	368
212	99	368
213	100	367
214	100	368
215	101	368
216	101	367
217	102	367
218	102	366
219	103	365
220	103	365
221	103	364
222	104	363
223	104	363
224	105	362
225	105	361
226	106	361
227	106	360
228	106	359
229	107	359
230	108	360
231	108	360
232	109	359
233	109	358
234	110	358
235	110	357
236	110	357
237	111	356
238	111	356
239	112	356
240	113	358
241	114	359
242	115	359
243	116	360
244	117	363
245	118	362
246	118	362
247	120	366
248	122	368
249	122	367
250	122	366
251	123	366
252	123	365
253	124	364
254	124	363
255	124	362
256	125	362
257	125	362
258	126	362
259	127	362
260	128	364
261	129	363
262	129	363
263	130	362
264	130	361
265	130	361
266	131	360
267	131	359
268	132	359
269	132	358
270	132	357
271	133	356
272	133	356
273	134	355
274	134	354
275	134	353
276	135	352
277	135	352
278	136	351
279	136	350
280	136	350
281	137	349
282	137	348
283	138	347
284	138	347
285	139	347
286	139	346
287	140	346
288	140	346
289	141	346
290	141	345
291	142	345
292	142	344
293	143	344
294	143	343
295	144	343
296	144	342
297	145	342
298	145	341
299	145	340
300	146	340
301	146	339
302	147	338
303	147	338
304	148	337
305	148	336
306	148	335
307	149	335
308	149	334
309	150	333
310	150	333
311	150	332
312	151	332
313	151	331
314	152	330
315	152	330
316	153	329
317	153	329
318	153	328
319	154	328
320	155	328
321	155	327
322	156	327
